"cell_genes"	"cell_type"	"k"
"VWA3A"	"Ciliated"	"Cluster 2"
"IQCA1"	"Ciliated"	"Cluster 2"
"CHST9"	"Ciliated"	"Cluster 2"
"TBCA"	"Ciliated"	"Cluster 2"
"TTC26"	"Ciliated"	"Cluster 2"
"COQ4"	"Ciliated"	"Cluster 2"
"TTLL10"	"Ciliated"	"Cluster 2"
"IQUB"	"Ciliated"	"Cluster 2"
"DCDC5"	"Ciliated"	"Cluster 2"
"EFHC2"	"Ciliated"	"Cluster 2"
"ANKMY1"	"Ciliated"	"Cluster 2"
"DZIP1L"	"Ciliated"	"Cluster 2"
"PTPRN2"	"Ciliated"	"Cluster 2"
"SPATA4"	"Ciliated"	"Cluster 2"
"TMEM212"	"Ciliated"	"Cluster 2"
"PROM1"	"Ciliated"	"Cluster 2"
"SLFN13"	"Ciliated"	"Cluster 2"
"CALM2"	"Ciliated"	"Cluster 2"
"WDR34"	"Ciliated"	"Cluster 2"
"PTPRT"	"Ciliated"	"Cluster 2"
"PZP"	"Ciliated"	"Cluster 2"
"OR7E47P"	"Ciliated"	"Cluster 2"
"ATP2A2"	"Ciliated"	"Cluster 2"
"CAPS2"	"Ciliated"	"Cluster 2"
"IGFBP2"	"Ciliated"	"Cluster 2"
"NGRN"	"Ciliated"	"Cluster 2"
"MORN3"	"Ciliated"	"Cluster 2"
"IFI6"	"Ciliated"	"Cluster 2"
"ORAI2"	"Ciliated"	"Cluster 2"
"CST6"	"Ciliated"	"Cluster 2"
"UBAC1"	"Ciliated"	"Cluster 2"
"ERICH6-AS1"	"Ciliated"	"Cluster 2"
"ELK3"	"Ciliated"	"Cluster 2"
"C15orf65"	"Ciliated"	"Cluster 2"
"OCEL1"	"Ciliated"	"Cluster 2"
"LOC100288798"	"Ciliated"	"Cluster 2"
"MPC2"	"Ciliated"	"Cluster 2"
"RPGRIP1L"	"Ciliated"	"Cluster 2"
"AK8"	"Ciliated"	"Cluster 2"
"MAP6"	"Ciliated"	"Cluster 2"
"EFCAB2"	"Ciliated"	"Cluster 2"
"PITPNM1"	"Ciliated"	"Cluster 2"
"TMEM173"	"Ciliated"	"Cluster 2"
"CKB"	"Ciliated"	"Cluster 2"
"TBC1D8"	"Ciliated"	"Cluster 2"
