"cell_genes"	"cell_type"	"k"
"SPARC"	"Capillary.Aerocyte"	"Cluster 18"
"TBX3"	"Capillary.Aerocyte"	"Cluster 18"
"MARCKS"	"Capillary.Aerocyte"	"Cluster 18"
"IL32"	"Capillary.Aerocyte"	"Cluster 18"
"RCSD1"	"Capillary.Aerocyte"	"Cluster 18"
"SERPINB1"	"Capillary.Aerocyte"	"Cluster 18"
"EDNRB-AS1"	"Capillary.Aerocyte"	"Cluster 18"
"FOXF1"	"Capillary.Aerocyte"	"Cluster 18"
"TSPAN4"	"Capillary.Aerocyte"	"Cluster 18"
"LGALS1"	"Capillary.Aerocyte"	"Cluster 18"
"APLN"	"Capillary.Aerocyte"	"Cluster 18"
"EFNB1"	"Capillary.Aerocyte"	"Cluster 18"
"ITGA10"	"Capillary.Aerocyte"	"Cluster 18"
"DST"	"Capillary.Aerocyte"	"Cluster 18"
"CPM"	"Capillary.Aerocyte"	"Cluster 18"
"TINAGL1"	"Capillary.Aerocyte"	"Cluster 18"
"FENDRR"	"Capillary.Aerocyte"	"Cluster 18"
"CCND3"	"Capillary.Aerocyte"	"Cluster 18"
"ANXA1"	"Capillary.Aerocyte"	"Cluster 18"
"LAMP1"	"Capillary.Aerocyte"	"Cluster 18"
"SERPINB6"	"Capillary.Aerocyte"	"Cluster 18"
"PIK3IP1"	"Capillary.Aerocyte"	"Cluster 18"
"EDIL3"	"Capillary.Aerocyte"	"Cluster 18"
"MALAT1"	"Capillary.Aerocyte"	"Cluster 18"
"TSC22D3"	"Capillary.Aerocyte"	"Cluster 18"
"VAT1"	"Capillary.Aerocyte"	"Cluster 18"
"RPN1"	"Capillary.Aerocyte"	"Cluster 18"
"RTN4"	"Capillary.Aerocyte"	"Cluster 18"
"SLC12A2"	"Capillary.Aerocyte"	"Cluster 18"
"BSG"	"Capillary.Aerocyte"	"Cluster 18"
"HLA-DMA"	"Capillary.Aerocyte"	"Cluster 18"
"CHL1"	"Capillary.Aerocyte"	"Cluster 18"
"CA2"	"Capillary.Aerocyte"	"Cluster 18"
"ITGA1"	"Capillary.Aerocyte"	"Cluster 18"
"TYMP"	"Capillary.Aerocyte"	"Cluster 18"
"ACVRL1"	"Capillary.Aerocyte"	"Cluster 18"
"SLC14A1"	"Capillary.Aerocyte"	"Cluster 18"
"SERPINE1"	"Capillary.Aerocyte"	"Cluster 18"
"IBA57"	"Capillary.Aerocyte"	"Cluster 18"
"NCALD"	"Capillary.Aerocyte"	"Cluster 18"
"GUSBP3"	"Capillary.Aerocyte"	"Cluster 18"
"MYLK"	"Capillary.Aerocyte"	"Cluster 18"
"PCDH12"	"Capillary.Aerocyte"	"Cluster 18"
"RHOB"	"Capillary.Aerocyte"	"Cluster 18"
"MAGED2"	"Capillary.Aerocyte"	"Cluster 18"
"ITGA3"	"Capillary.Aerocyte"	"Cluster 18"
"NES"	"Capillary.Aerocyte"	"Cluster 18"
"CDKN2B"	"Capillary.Aerocyte"	"Cluster 18"
"CBR1"	"Capillary.Aerocyte"	"Cluster 18"
"SPOCK2"	"Capillary.Aerocyte"	"Cluster 18"
"TGFBR3"	"Capillary.Aerocyte"	"Cluster 18"
"MYADM"	"Capillary.Aerocyte"	"Cluster 18"
"MAPKAPK5-AS1"	"Capillary.Aerocyte"	"Cluster 18"
"CYB561"	"Capillary.Aerocyte"	"Cluster 18"
"PRX"	"Capillary.Aerocyte"	"Cluster 18"
"IFI35"	"Capillary.Aerocyte"	"Cluster 18"
"TFPI2"	"Capillary.Aerocyte"	"Cluster 18"
"CMTM3"	"Capillary.Aerocyte"	"Cluster 18"
"PRKCE"	"Capillary.Aerocyte"	"Cluster 18"
"PPP1R15A"	"Capillary.Aerocyte"	"Cluster 18"
"LOC284454"	"Capillary.Aerocyte"	"Cluster 18"
"CSF1"	"Capillary.Aerocyte"	"Cluster 18"
"CD82"	"Capillary.Aerocyte"	"Cluster 18"
"F2RL3"	"Capillary.Aerocyte"	"Cluster 18"
"CLEC4E"	"Capillary.Aerocyte"	"Cluster 18"
"INMT"	"Capillary.Aerocyte"	"Cluster 18"
"ZFP36L1"	"Capillary.Aerocyte"	"Cluster 18"
"LOC101927069"	"Capillary.Aerocyte"	"Cluster 18"
"PLAU"	"Capillary.Aerocyte"	"Cluster 18"
"PHLDA1"	"Capillary.Aerocyte"	"Cluster 18"
"EDN2"	"Capillary.Aerocyte"	"Cluster 18"
"HSPA1A"	"Capillary.Aerocyte"	"Cluster 18"
"AREG"	"Capillary.Aerocyte"	"Cluster 18"
"IL7R"	"Capillary"	"Cluster 19"
"FCN3"	"Capillary"	"Cluster 19"
"EDN1"	"Capillary"	"Cluster 19"
"SLC6A4"	"Capillary"	"Cluster 19"
"TMEM100"	"Capillary"	"Cluster 19"
"DUSP6"	"Capillary"	"Cluster 19"
"GPIHBP1"	"Capillary"	"Cluster 19"
"C8orf4"	"Capillary"	"Cluster 19"
"CA4"	"Capillary"	"Cluster 19"
"NOSTRIN"	"Capillary"	"Cluster 19"
"CD14"	"Capillary"	"Cluster 19"
"RNASE1"	"Capillary"	"Cluster 19"
"BTNL9"	"Capillary"	"Cluster 19"
"NTRK2"	"Capillary"	"Cluster 19"
"CLEC3B"	"Capillary"	"Cluster 19"
"TNFSF10"	"Capillary"	"Cluster 19"
"TPM1"	"Capillary"	"Cluster 19"
"TXNIP"	"Capillary"	"Cluster 19"
"CD36"	"Capillary"	"Cluster 19"
"CALCRL"	"Capillary"	"Cluster 19"
"RGCC"	"Capillary"	"Cluster 19"
"GATA2"	"Capillary"	"Cluster 19"
"LRRC32"	"Capillary"	"Cluster 19"
"ENG"	"Capillary"	"Cluster 19"
"MALAT1"	"Capillary"	"Cluster 19"
"RAMP3"	"Capillary"	"Cluster 19"
"LINC00472"	"Capillary"	"Cluster 19"
"ADGRF5"	"Capillary"	"Cluster 19"
"FRMD4A"	"Capillary"	"Cluster 19"
"ADGRE5"	"Capillary"	"Cluster 19"
"BAIAP2"	"Capillary"	"Cluster 19"
"HSPB8"	"Capillary"	"Cluster 19"
"KIAA1217"	"Capillary"	"Cluster 19"
"ADRB1"	"Capillary"	"Cluster 19"
"ARHGAP18"	"Capillary"	"Cluster 19"
"TMEM2"	"Capillary"	"Cluster 19"
"PDE4B"	"Capillary"	"Cluster 19"
"MAOA"	"Capillary"	"Cluster 19"
"SMAD6"	"Capillary"	"Cluster 19"
"CD44"	"Capillary"	"Cluster 19"
"PLLP"	"Capillary"	"Cluster 19"
"HES1"	"Capillary"	"Cluster 19"
"VIPR1"	"Capillary"	"Cluster 19"
"FENDRR"	"Capillary"	"Cluster 19"
"AKAP12"	"Capillary"	"Cluster 19"
"RNF144B"	"Capillary"	"Cluster 19"
"F2RL3"	"Capillary"	"Cluster 19"
"ADM"	"Capillary"	"Cluster 19"
"IL1RL1"	"Capillary.Intermediate.1"	"Cluster 20"
"EDNRB"	"Capillary.Intermediate.1"	"Cluster 20"
"HPGD"	"Capillary.Intermediate.1"	"Cluster 20"
"S100A3"	"Capillary.Intermediate.1"	"Cluster 20"
"SOSTDC1"	"Capillary.Intermediate.1"	"Cluster 20"
"CYP3A5"	"Capillary.Intermediate.1"	"Cluster 20"
"CA4"	"Capillary.Intermediate.1"	"Cluster 20"
"F2RL3"	"Capillary.Intermediate.1"	"Cluster 20"
"B3GALNT1"	"Capillary.Intermediate.1"	"Cluster 20"
"VIPR1"	"Capillary.Intermediate.1"	"Cluster 20"
"EFNB1"	"Capillary.Intermediate.1"	"Cluster 20"
"ADGRL2"	"Capillary.Intermediate.1"	"Cluster 20"
"SERPINE1"	"Capillary.Intermediate.1"	"Cluster 20"
"TBX3"	"Capillary.Intermediate.1"	"Cluster 20"
"AQP1"	"Capillary.Intermediate.1"	"Cluster 20"
"PDGFB"	"Capillary.Intermediate.1"	"Cluster 20"
"FAM21A"	"Capillary.Intermediate.1"	"Cluster 20"
"HLA-DQA1"	"Capillary.Intermediate.1"	"Cluster 20"
"FKBP5"	"Capillary.Intermediate.1"	"Cluster 20"
"TMEM204"	"Capillary.Intermediate.1"	"Cluster 20"
"CX3CL1"	"Capillary.Intermediate.1"	"Cluster 20"
"LOC284454"	"Capillary.Intermediate.1"	"Cluster 20"
"CHST2"	"Capillary.Intermediate.1"	"Cluster 20"
"HLA-DQA2"	"Capillary.Intermediate.1"	"Cluster 20"
"SGK1"	"Capillary.Intermediate.1"	"Cluster 20"
"MXD4"	"Capillary.Intermediate.1"	"Cluster 20"
"ADGRF5"	"Capillary.Intermediate.1"	"Cluster 20"
"RRAS"	"Capillary.Intermediate.1"	"Cluster 20"
"SLCO4A1"	"Capillary.Intermediate.1"	"Cluster 20"
"ITGA10"	"Capillary.Intermediate.1"	"Cluster 20"
"EMP2"	"Capillary.Intermediate.1"	"Cluster 20"
"ROBO4"	"Capillary.Intermediate.1"	"Cluster 20"
"ZFP36L1"	"Capillary.Intermediate.1"	"Cluster 20"
"CNN3"	"Capillary.Intermediate.1"	"Cluster 20"
"LHFP"	"Capillary.Intermediate.1"	"Cluster 20"
"CSF1"	"Capillary.Intermediate.1"	"Cluster 20"
"ICAM2"	"Capillary.Intermediate.1"	"Cluster 20"
"ISG20"	"Capillary.Intermediate.1"	"Cluster 20"
"RHOB"	"Capillary.Intermediate.1"	"Cluster 20"
"S100A4"	"Capillary.Intermediate.1"	"Cluster 20"
"PPP1R15A"	"Capillary.Intermediate.1"	"Cluster 20"
"ACVRL1"	"Capillary.Intermediate.1"	"Cluster 20"
"JUN"	"Capillary.Intermediate.1"	"Cluster 20"
"RTN4"	"Capillary.Intermediate.1"	"Cluster 20"
"CLDN5"	"Capillary.Intermediate.1"	"Cluster 20"
"IRF1"	"Capillary.Intermediate.1"	"Cluster 20"
"CXCL8"	"Capillary.Intermediate.1"	"Cluster 20"
"ICAM1"	"Capillary.Intermediate.1"	"Cluster 20"
"CXCL1"	"Capillary.Intermediate.1"	"Cluster 20"
"TMSB4X"	"Capillary.Intermediate.2"	"Cluster 21"
"SLC9A3R2"	"Capillary.Intermediate.2"	"Cluster 21"
"TMSB10"	"Capillary.Intermediate.2"	"Cluster 21"
"PCAT19"	"Capillary.Intermediate.2"	"Cluster 21"
"SPTBN1"	"Capillary.Intermediate.2"	"Cluster 21"
"PTMA"	"Capillary.Intermediate.2"	"Cluster 21"
"KTN1"	"Capillary.Intermediate.2"	"Cluster 21"
"CSDE1"	"Capillary.Intermediate.2"	"Cluster 21"
"GUK1"	"Capillary.Intermediate.2"	"Cluster 21"
"UQCR11"	"Capillary.Intermediate.2"	"Cluster 21"
"ATP5I"	"Capillary.Intermediate.2"	"Cluster 21"
"C4orf3"	"Capillary.Intermediate.2"	"Cluster 21"
"PTRF"	"Capillary.Intermediate.2"	"Cluster 21"
"TMA7"	"Capillary.Intermediate.2"	"Cluster 21"
"ISCU"	"Capillary.Intermediate.2"	"Cluster 21"
"TCEB2"	"Capillary.Intermediate.2"	"Cluster 21"
"RAB13"	"Capillary.Intermediate.2"	"Cluster 21"
"SEC62"	"Capillary.Intermediate.2"	"Cluster 21"
"USMG5"	"Capillary.Intermediate.2"	"Cluster 21"
"SNHG6"	"Capillary.Intermediate.2"	"Cluster 21"
"NDRG2"	"Capillary.Intermediate.2"	"Cluster 21"
"CCND1"	"Capillary.Intermediate.2"	"Cluster 21"
"ATOX1"	"Capillary.Intermediate.2"	"Cluster 21"
"VAMP5"	"Capillary.Intermediate.2"	"Cluster 21"
"GMFG"	"Capillary.Intermediate.2"	"Cluster 21"
"MYZAP"	"Capillary.Intermediate.2"	"Cluster 21"
"IFI27"	"Capillary.Intermediate.2"	"Cluster 21"
"RPS26"	"Capillary.Intermediate.2"	"Cluster 21"
"COX7A1"	"Capillary.Intermediate.2"	"Cluster 21"
"TOMM7"	"Capillary.Intermediate.2"	"Cluster 21"
"HMGB1"	"Capillary.Intermediate.2"	"Cluster 21"
"SERF2"	"Capillary.Intermediate.2"	"Cluster 21"
"RBM17"	"Capillary.Intermediate.2"	"Cluster 21"
"AES"	"Capillary.Intermediate.2"	"Cluster 21"
"DYNC1LI2"	"Capillary.Intermediate.2"	"Cluster 21"
"DBI"	"Capillary.Intermediate.2"	"Cluster 21"
"CMPK1"	"Capillary.Intermediate.2"	"Cluster 21"
"SERINC1"	"Capillary.Intermediate.2"	"Cluster 21"
"HPCAL1"	"Capillary.Intermediate.2"	"Cluster 21"
"VAMP8"	"Capillary.Intermediate.2"	"Cluster 21"
"EIF5B"	"Capillary.Intermediate.2"	"Cluster 21"
"OPTN"	"Capillary.Intermediate.2"	"Cluster 21"
"CARD16"	"Capillary.Intermediate.2"	"Cluster 21"
"KIAA1462"	"Capillary.Intermediate.2"	"Cluster 21"
"MTRNR2L8"	"Capillary.Intermediate.2"	"Cluster 21"
"IFI27L2"	"Capillary.Intermediate.2"	"Cluster 21"
"ATP5E"	"Capillary.Intermediate.2"	"Cluster 21"
"ZEB1"	"Capillary.Intermediate.2"	"Cluster 21"
"MAP4"	"Capillary.Intermediate.2"	"Cluster 21"
"GPX1"	"Capillary.Intermediate.2"	"Cluster 21"
"SPARC"	"Capillary.Intermediate.2"	"Cluster 21"
"MYL6"	"Capillary.Intermediate.2"	"Cluster 21"
"MT1L"	"Capillary.Intermediate.2"	"Cluster 21"
"MYLK"	"Capillary.Intermediate.2"	"Cluster 21"
"EPAS1"	"Capillary.Intermediate.2"	"Cluster 21"
"RPL38"	"Capillary.Intermediate.2"	"Cluster 21"
"MTRNR2L2"	"Capillary.Intermediate.2"	"Cluster 21"
"RPS29"	"Capillary.Intermediate.2"	"Cluster 21"
"FTL"	"Capillary.Intermediate.2"	"Cluster 21"
"ARRDC2"	"Capillary.Intermediate.2"	"Cluster 21"
"C1orf115"	"Capillary.Intermediate.2"	"Cluster 21"
"PRX"	"Capillary.Intermediate.2"	"Cluster 21"
"RPLP2"	"Capillary.Intermediate.2"	"Cluster 21"
"RPS4Y1"	"Capillary.Intermediate.2"	"Cluster 21"
"TPM1"	"Capillary.Intermediate.2"	"Cluster 21"
"MOCS2"	"Capillary.Intermediate.2"	"Cluster 21"
"FCN3"	"Capillary.Intermediate.2"	"Cluster 21"
"S100A6"	"Capillary.Intermediate.2"	"Cluster 21"
"S100A4"	"Capillary.Intermediate.2"	"Cluster 21"
"MT1E"	"Capillary.Intermediate.2"	"Cluster 21"
"IL7R"	"Capillary.Intermediate.2"	"Cluster 21"
"MT1M"	"Capillary.Intermediate.2"	"Cluster 21"
"SPRY1"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS2"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL3"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL12"	"Bronchial.Vessel.1"	"Cluster 22"
"PLVAP"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS4X"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS18"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS6"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL10A"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL10"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS3"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL26"	"Bronchial.Vessel.1"	"Cluster 22"
"RPLP0"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL13"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL7"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS8"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL15"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS3A"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL32"	"Bronchial.Vessel.1"	"Cluster 22"
"LRRC75A-AS1"	"Bronchial.Vessel.1"	"Cluster 22"
"SPARCL1"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL8"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL34"	"Bronchial.Vessel.1"	"Cluster 22"
"SNHG5"	"Bronchial.Vessel.1"	"Cluster 22"
"MYC"	"Bronchial.Vessel.1"	"Cluster 22"
"EEF1G"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS19"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS9"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL18A"	"Bronchial.Vessel.1"	"Cluster 22"
"VWA1"	"Bronchial.Vessel.1"	"Cluster 22"
"COL15A1"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL11"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL28"	"Bronchial.Vessel.1"	"Cluster 22"
"RPLP1"	"Bronchial.Vessel.1"	"Cluster 22"
"EEF1A1"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS14"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS15A"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS5"	"Bronchial.Vessel.1"	"Cluster 22"
"ZNF385D"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS12"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS15"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL5"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS23"	"Bronchial.Vessel.1"	"Cluster 22"
"GAS5"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL7A"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL21"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL13A"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL39"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL18"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS17"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL17"	"Bronchial.Vessel.1"	"Cluster 22"
"MPZL2"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS24"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL29"	"Bronchial.Vessel.1"	"Cluster 22"
"FAM198B"	"Bronchial.Vessel.1"	"Cluster 22"
"GNB2L1"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL9"	"Bronchial.Vessel.1"	"Cluster 22"
"POSTN"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL23A"	"Bronchial.Vessel.1"	"Cluster 22"
"OLFM1"	"Bronchial.Vessel.1"	"Cluster 22"
"XIST"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS13"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL4"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL36"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL6"	"Bronchial.Vessel.1"	"Cluster 22"
"ACKR1"	"Bronchial.Vessel.1"	"Cluster 22"
"LDHB"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL35A"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL41"	"Bronchial.Vessel.1"	"Cluster 22"
"CCL14"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS7"	"Bronchial.Vessel.1"	"Cluster 22"
"HSPG2"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS27A"	"Bronchial.Vessel.1"	"Cluster 22"
"TPD52L1"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL24"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL35"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL31"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL19"	"Bronchial.Vessel.1"	"Cluster 22"
"TM4SF18"	"Bronchial.Vessel.1"	"Cluster 22"
"IGFBP7"	"Bronchial.Vessel.1"	"Cluster 22"
"ADM5"	"Bronchial.Vessel.1"	"Cluster 22"
"NACA"	"Bronchial.Vessel.1"	"Cluster 22"
"SPP1"	"Bronchial.Vessel.1"	"Cluster 22"
"CYYR1"	"Bronchial.Vessel.1"	"Cluster 22"
"CTGF"	"Bronchial.Vessel.1"	"Cluster 22"
"HNRNPA1"	"Bronchial.Vessel.1"	"Cluster 22"
"EEF1B2"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL30"	"Bronchial.Vessel.1"	"Cluster 22"
"IFITM1"	"Bronchial.Vessel.1"	"Cluster 22"
"SELE"	"Bronchial.Vessel.1"	"Cluster 22"
"EIF3E"	"Bronchial.Vessel.1"	"Cluster 22"
"IGFBP2"	"Bronchial.Vessel.1"	"Cluster 22"
"NPM1"	"Bronchial.Vessel.1"	"Cluster 22"
"ACTG1"	"Bronchial.Vessel.1"	"Cluster 22"
"TSPAN13"	"Bronchial.Vessel.1"	"Cluster 22"
"ADAMTS1"	"Bronchial.Vessel.1"	"Cluster 22"
"CYR61"	"Bronchial.Vessel.1"	"Cluster 22"
"HSPB1"	"Bronchial.Vessel.1"	"Cluster 22"
"GLTSCR2"	"Bronchial.Vessel.1"	"Cluster 22"
"LITAF"	"Bronchial.Vessel.1"	"Cluster 22"
"ADGRL4"	"Bronchial.Vessel.1"	"Cluster 22"
"TMEM70"	"Bronchial.Vessel.1"	"Cluster 22"
"PALMD"	"Bronchial.Vessel.1"	"Cluster 22"
"NCOA7"	"Bronchial.Vessel.1"	"Cluster 22"
"RPS10"	"Bronchial.Vessel.1"	"Cluster 22"
"GSN"	"Bronchial.Vessel.1"	"Cluster 22"
"A2M"	"Bronchial.Vessel.1"	"Cluster 22"
"RPSA"	"Bronchial.Vessel.1"	"Cluster 22"
"COTL1"	"Bronchial.Vessel.1"	"Cluster 22"
"EEF2"	"Bronchial.Vessel.1"	"Cluster 22"
"APOLD1"	"Bronchial.Vessel.1"	"Cluster 22"
"EEF1D"	"Bronchial.Vessel.1"	"Cluster 22"
"INSR"	"Bronchial.Vessel.1"	"Cluster 22"
"CTSC"	"Bronchial.Vessel.1"	"Cluster 22"
"RBP7"	"Bronchial.Vessel.1"	"Cluster 22"
"LGALS3"	"Bronchial.Vessel.1"	"Cluster 22"
"LDHA"	"Bronchial.Vessel.1"	"Cluster 22"
"DUSP23"	"Bronchial.Vessel.1"	"Cluster 22"
"RPL36A"	"Bronchial.Vessel.1"	"Cluster 22"
"ANGPT2"	"Bronchial.Vessel.1"	"Cluster 22"
"CD200"	"Bronchial.Vessel.1"	"Cluster 22"
"CST3"	"Bronchial.Vessel.1"	"Cluster 22"
"UGCG"	"Bronchial.Vessel.1"	"Cluster 22"
"CD34"	"Bronchial.Vessel.1"	"Cluster 22"
"JCHAIN"	"Bronchial.Vessel.1"	"Cluster 22"
"LMCD1"	"Bronchial.Vessel.1"	"Cluster 22"
"SOCS3"	"Bronchial.Vessel.1"	"Cluster 22"
"BRE-AS1"	"Bronchial.Vessel.1"	"Cluster 22"
"C7"	"Bronchial.Vessel.1"	"Cluster 22"
"ENPP2"	"Bronchial.Vessel.1"	"Cluster 22"
"ADAMTS4"	"Bronchial.Vessel.1"	"Cluster 22"
"SNX3"	"Bronchial.Vessel.1"	"Cluster 22"
"MAT2A"	"Bronchial.Vessel.1"	"Cluster 22"
"TSC22D1"	"Bronchial.Vessel.1"	"Cluster 22"
"CLU"	"Bronchial.Vessel.1"	"Cluster 22"
"CDKN1A"	"Bronchial.Vessel.1"	"Cluster 22"
"VCAM1"	"Bronchial.Vessel.1"	"Cluster 22"
"IL6"	"Bronchial.Vessel.1"	"Cluster 22"
"ESM1"	"Bronchial.Vessel.1"	"Cluster 22"
"SOX17"	"Bronchial.Vessel.1"	"Cluster 22"
"TAGLN"	"Bronchial.Vessel.1"	"Cluster 22"
"TM4SF1"	"Bronchial.Vessel.2"	"Cluster 23"
"SLC2A3"	"Bronchial.Vessel.2"	"Cluster 23"
"EMP1"	"Bronchial.Vessel.2"	"Cluster 23"
"SOCS3"	"Bronchial.Vessel.2"	"Cluster 23"
"SERTAD1"	"Bronchial.Vessel.2"	"Cluster 23"
"ABCB1"	"Bronchial.Vessel.2"	"Cluster 23"
"H3F3B"	"Bronchial.Vessel.2"	"Cluster 23"
"TSC22D1"	"Bronchial.Vessel.2"	"Cluster 23"
"IFITM1"	"Bronchial.Vessel.2"	"Cluster 23"
"ARID5A"	"Bronchial.Vessel.2"	"Cluster 23"
"SLC25A25"	"Bronchial.Vessel.2"	"Cluster 23"
"HBEGF"	"Bronchial.Vessel.2"	"Cluster 23"
"DDX5"	"Bronchial.Vessel.2"	"Cluster 23"
"RUNDC3B"	"Bronchial.Vessel.2"	"Cluster 23"
"GJA1"	"Bronchial.Vessel.2"	"Cluster 23"
"MCL1"	"Bronchial.Vessel.2"	"Cluster 23"
"ADM"	"Bronchial.Vessel.2"	"Cluster 23"
"ACTB"	"Bronchial.Vessel.2"	"Cluster 23"
"CDKN1A"	"Bronchial.Vessel.2"	"Cluster 23"
"APOLD1"	"Bronchial.Vessel.2"	"Cluster 23"
"SRGN"	"Bronchial.Vessel.2"	"Cluster 23"
"CD36"	"Bronchial.Vessel.2"	"Cluster 23"
"RBP7"	"Bronchial.Vessel.2"	"Cluster 23"
"TSPAN13"	"Bronchial.Vessel.2"	"Cluster 23"
"NR4A1"	"Bronchial.Vessel.2"	"Cluster 23"
"B3GNT5"	"Bronchial.Vessel.2"	"Cluster 23"
"BHLHE40"	"Bronchial.Vessel.2"	"Cluster 23"
"PALMD"	"Bronchial.Vessel.2"	"Cluster 23"
"FOSB"	"Bronchial.Vessel.2"	"Cluster 23"
"ACTG1"	"Bronchial.Vessel.2"	"Cluster 23"
"ZFP36"	"Bronchial.Vessel.2"	"Cluster 23"
"SOCS2"	"Bronchial.Vessel.2"	"Cluster 23"
"CYR61"	"Bronchial.Vessel.2"	"Cluster 23"
"SPARCL1"	"Bronchial.Vessel.2"	"Cluster 23"
"JUNB"	"Bronchial.Vessel.2"	"Cluster 23"
"LPAR6"	"Bronchial.Vessel.2"	"Cluster 23"
"PLSCR1"	"Bronchial.Vessel.2"	"Cluster 23"
"MYC"	"Bronchial.Vessel.2"	"Cluster 23"
"ETS2"	"Bronchial.Vessel.2"	"Cluster 23"
"DDX3X"	"Bronchial.Vessel.2"	"Cluster 23"
"FMO2"	"Bronchial.Vessel.2"	"Cluster 23"
"LDLR"	"Bronchial.Vessel.2"	"Cluster 23"
"DLC1"	"Bronchial.Vessel.2"	"Cluster 23"
"CP"	"Bronchial.Vessel.2"	"Cluster 23"
"CFAP20"	"Bronchial.Vessel.2"	"Cluster 23"
"INSIG1"	"Bronchial.Vessel.2"	"Cluster 23"
"PIM1"	"Bronchial.Vessel.2"	"Cluster 23"
"ZFAND5"	"Bronchial.Vessel.2"	"Cluster 23"
"CTGF"	"Bronchial.Vessel.2"	"Cluster 23"
"ELF1"	"Bronchial.Vessel.2"	"Cluster 23"
"SIK1"	"Bronchial.Vessel.2"	"Cluster 23"
"TM4SF18"	"Bronchial.Vessel.2"	"Cluster 23"
"TRIB1"	"Bronchial.Vessel.2"	"Cluster 23"
"RCAN1"	"Bronchial.Vessel.2"	"Cluster 23"
"PCDH17"	"Bronchial.Vessel.2"	"Cluster 23"
"A2M"	"Bronchial.Vessel.2"	"Cluster 23"
"IFI16"	"Bronchial.Vessel.2"	"Cluster 23"
"NEDD9"	"Bronchial.Vessel.2"	"Cluster 23"
"MT2A"	"Bronchial.Vessel.2"	"Cluster 23"
"RGCC"	"Bronchial.Vessel.2"	"Cluster 23"
"RAB20"	"Bronchial.Vessel.2"	"Cluster 23"
"SOX17"	"Bronchial.Vessel.2"	"Cluster 23"
"BEX5"	"Bronchial.Vessel.2"	"Cluster 23"
"PRDM1"	"Bronchial.Vessel.2"	"Cluster 23"
"GADD45B"	"Bronchial.Vessel.2"	"Cluster 23"
"XIST"	"Bronchial.Vessel.2"	"Cluster 23"
"THBD"	"Bronchial.Vessel.2"	"Cluster 23"
"ADAMTS1"	"Bronchial.Vessel.2"	"Cluster 23"
"TMEM70"	"Bronchial.Vessel.2"	"Cluster 23"
"C1orf54"	"Bronchial.Vessel.2"	"Cluster 23"
"CRHBP"	"Bronchial.Vessel.2"	"Cluster 23"
