set01	set02	set03	set04	set05	set06	set07	set08	set09	set10	set11	set12	set13	set14	set15	set16	SetsWithPeps	MaxPeps	MinPeps
ADAMTS2	10	6	9	5	7	10	3	10	7	7	8	8	7	7	6	9	16	10	3
ADAMTS3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	1	4	1	1
ADAMTS4	10	11	15	7	8	7	12	11	12	13	10	6	17	6	10	16	16	17	6
ADAMTS5	2	1	2	NA	4	1	2	3	2	3	2	2	3	NA	2	3	14	4	1
ADAMTS7	9	6	4	4	5	5	5	7	8	8	4	7	6	7	7	6	16	9	4
ADAMTS8	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	3	1	1
ADAMTS9	0	2	1	1	1	1	1	2	1	3	1	NA	NA	NA	2	1	12	3	0
ADAMTSL1	4	2	10	2	7	9	6	6	6	10	2	6	2	3	2	4	16	10	2
ADAMTSL2	3	9	9	10	13	9	12	11	9	9	7	11	8	4	5	6	16	13	3
ADAMTSL3	2	1	NA	3	2	2	3	2	2	1	1	3	5	4	NA	1	14	5	1
ADAMTSL4	4	4	6	5	6	8	7	6	6	6	6	11	7	8	6	8	16	11	4
ADAMTSL5	1	NA	NA	5	1	NA	3	1	3	1	NA	2	1	NA	1	NA	10	5	1
ADAP1	10	6	9	9	9	5	5	5	9	7	10	6	8	6	9	6	16	10	5
ADAP2	13	11	9	11	10	11	12	9	13	9	11	9	10	9	10	14	16	14	9
ADAR	68	72	76	74	64	68	75	65	69	72	71	70	71	64	76	74	16	76	64
ADARB1	14	9	11	11	12	14	16	15	16	10	13	13	12	10	13	14	16	16	9
ADARB2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
ADAT1	9	4	5	7	7	6	6	7	8	7	8	7	7	7	7	9	16	9	4
ADAT2	NA	NA	1	1	1	NA	NA	2	NA	1	1	1	NA	2	NA	1	9	2	1
ADAT3	2	4	3	5	4	4	3	4	3	4	3	3	3	5	3	5	16	5	2
ADCK1	10	10	10	12	9	12	10	10	8	8	12	9	12	9	7	10	16	12	7
ADCK2	2	2	3	1	2	5	3	2	2	2	2	1	3	4	3	4	16	5	1
ADCK5	11	13	11	8	12	12	11	12	11	11	12	11	19	12	12	12	16	19	8
ADCY1	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	3	1	1
ADCY2	2	1	NA	NA	1	0	1	0	1	0	0	1	1	0	NA	1	8	2	0
ADCY3	9	11	8	11	5	8	6	10	8	10	10	9	7	6	9	11	16	11	5
ADCY4	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	3	1	1
ADCY5	0	0	2	NA	0	1	3	1	2	1	0	0	2	1	2	2	10	3	0
ADCY6	2	2	4	2	4	0	4	4	3	4	3	3	3	4	4	2	15	4	0
ADCY7	11	14	13	16	12	14	13	11	14	14	12	11	12	10	14	16	16	16	10
ADCY8	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	2	NA	NA	3	2	1
ADCY9	21	22	16	22	18	16	15	15	15	13	19	14	16	13	13	15	16	22	13
ADCYAP1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	1	1
ADD1	42	42	44	45	47	45	45	42	45	45	43	40	43	40	38	40	16	47	38
ADD2	30	25	26	26	30	27	29	31	33	30	29	26	31	24	28	29	16	33	24
ADD3	42	39	38	40	42	38	41	40	42	41	43	41	36	41	41	39	16	43	36
ADGB	NA	2	NA	NA	1	NA	NA	1	2	2	1	NA	1	NA	NA	NA	7	2	1
ADGRA2	6	7	5	5	7	7	4	8	5	5	5	6	6	7	5	11	16	11	4
ADGRA3	NA	NA	3	1	NA	3	NA	1	2	2	3	1	3	2	2	NA	11	3	1
ADGRB1	NA	4	NA	NA	1	NA	NA	2	NA	NA	1	5	NA	NA	NA	NA	5	5	1
ADGRB3	NA	NA	2	1	NA	1	NA	NA	NA	2	NA	1	NA	1	2	1	8	2	1
ADGRD1	1	1	1	1	2	1	NA	1	3	1	1	1	2	2	NA	NA	13	3	1
ADGRE1	NA	1	NA	NA	NA	1	1	NA	NA	NA	2	1	1	NA	2	3	8	3	1
ADGRE2	4	3	2	2	2	3	2	2	2	3	3	2	3	2	4	4	16	4	2
ADGRE3	3	4	4	4	1	3	2	5	2	3	3	4	2	4	1	3	16	5	1
ADGRE5	14	16	17	16	16	16	17	16	18	15	15	15	17	17	18	19	16	19	14
ADGRF1	5	2	3	4	3	4	2	3	4	6	3	2	2	4	3	5	16	6	2
ADGRF4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1
ADGRF5	13	14	10	11	16	16	18	16	15	12	16	13	16	11	19	14	16	19	10
ADGRG1	9	6	8	4	7	5	4	5	5	8	7	5	9	8	5	5	16	9	4
ADGRG2	2	1	NA	NA	NA	2	NA	NA	1	1	1	2	NA	1	1	NA	9	2	1
ADGRG3	2	5	3	1	2	3	2	3	1	1	3	2	NA	2	2	1	15	5	1
ADGRG4	1	1	1	2	1	1	1	1	NA	1	1	1	1	1	1	1	15	2	1
ADGRG5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	2	1	1
