set01	set02	set03	set04	set05	set06	set07	set08	set09	set10	set11	set12	set13	set14	set15	set16	SetsWithPeps	MaxPeps	MinPeps
ADIPOQ	3	2	4	2	3	4	3	4	3	4	3	3	3	3	3	3	16	4	2
ADIPOR1	3	2	4	3	2	2	1	3	4	4	3	2	3	3	3	1	16	4	1
ADIPOR2	1	3	NA	NA	1	1	1	NA	1	NA	1	NA	NA	2	NA	1	9	3	1
ADIRF	2	2	5	4	2	3	3	3	2	2	2	2	2	2	2	3	16	5	2
ADK	26	27	26	27	26	26	25	22	24	24	28	26	24	26	27	28	16	28	22
ADM2	NA	1	NA	NA	NA	NA	1	1	1	NA	NA	1	1	1	1	1	9	1	1
ADNP	45	40	42	45	45	45	42	44	41	48	45	39	45	45	42	43	16	48	39
ADNP2	7	6	6	6	3	5	5	3	4	8	8	5	2	7	5	6	16	8	2
ADO	11	9	14	11	10	12	9	11	12	15	11	14	11	11	13	13	16	15	9
ADPGK	13	10	10	13	13	12	13	12	13	15	13	13	15	13	12	15	16	15	10
ADPRH	13	12	12	14	15	17	17	14	16	17	12	13	16	16	13	17	16	17	12
ADPRHL1	NA	NA	NA	NA	NA	NA	2	NA	2	1	NA	NA	NA	5	NA	NA	4	5	1
ADPRHL2	22	22	21	20	20	20	20	21	21	22	22	21	20	22	23	21	16	23	20
ADPRM	1	2	1	1	1	2	NA	1	1	1	1	1	1	1	NA	1	14	2	1
ADRA2A	NA	4	2	2	1	4	NA	2	1	2	2	2	1	2	3	2	14	4	1
ADRB2	NA	1	NA	NA	NA	1	1	NA	NA	NA	1	1	NA	NA	1	NA	6	1	1
ADRM1	9	10	15	12	10	11	7	10	9	11	11	10	11	12	10	13	16	15	7
ADSL	25	26	28	31	24	26	24	27	28	32	27	29	29	29	26	25	16	32	24
ADSS	17	18	22	20	18	19	20	19	19	20	20	18	18	21	21	21	16	22	17
ADSSL1	16	19	21	10	19	13	14	15	14	16	14	18	17	15	16	18	16	21	10
AEBP1	41	46	55	42	48	55	45	50	48	43	43	47	47	42	42	45	16	55	41
AEBP2	2	2	NA	3	1	1	1	2	1	3	2	1	2	2	1	2	15	3	1
AES	2	0	1	2	1	1	NA	1	1	1	1	2	2	1	1	NA	13	2	0
AFAP1	14	14	20	13	15	13	12	14	15	16	13	14	12	14	17	15	16	20	12
AFAP1L1	10	7	3	7	8	9	7	11	7	10	11	7	6	8	4	7	16	11	3
AFAP1L2	28	18	21	25	16	20	18	19	21	20	17	23	24	24	28	32	16	32	16
AFDN	87	96	92	103	90	79	86	87	83	85	85	84	92	84	89	94	16	103	79
AFF1	7	7	6	6	3	2	2	3	3	6	4	2	4	6	4	2	16	7	2
AFF4	14	9	5	16	11	7	9	9	6	10	11	8	7	10	12	5	16	16	5
AFG1L	8	8	11	11	9	11	11	11	9	11	12	12	10	8	9	6	16	12	6
AFG3L2	41	43	45	45	49	46	42	43	42	44	47	40	45	42	42	44	16	49	40
AFM	28	31	31	31	28	27	25	31	28	30	27	31	28	28	31	29	16	31	25
AFMID	4	7	8	10	6	6	7	6	7	4	7	7	7	4	5	8	16	10	4
AFP	2	NA	3	2	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	5	3	1
AFTPH	23	28	28	27	27	28	31	23	31	29	29	28	25	30	22	26	16	31	22
AGA	15	14	13	13	12	12	12	12	14	10	9	12	16	13	12	13	16	16	9
AGAP1	9	10	11	11	9	15	8	12	9	16	11	7	10	7	16	8	16	16	7
AGAP2	11	12	11	10	11	11	13	10	15	9	11	14	12	12	11	16	16	16	9
AGAP3	12	12	12	10	12	13	9	12	14	11	10	12	12	16	14	11	16	16	9
AGBL1	0	0	0	0	0	1	0	0	NA	0	0	0	0	0	0	0	1	1	0
AGER	15	12	9	14	14	11	12	19	12	11	9	7	8	11	11	14	16	19	7
AGFG1	14	10	13	14	13	11	13	14	14	13	14	15	13	14	14	16	16	16	10
AGFG2	8	6	4	7	7	8	6	8	6	8	6	5	8	8	10	10	16	10	4
AGGF1	2	0	1	2	1	1	0	0	0	0	0	1	0	0	1	0	7	2	0
AGK	22	22	21	21	20	21	20	21	22	19	19	22	20	20	21	21	16	22	19
AGL	69	95	95	90	81	94	90	85	86	88	82	88	90	88	77	88	16	95	69
AGMAT	9	5	3	2	4	3	2	3	2	5	3	3	4	2	4	5	16	9	2
AGMO	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	2	3	1
AGO1	25	24	25	27	24	24	26	30	29	30	34	28	27	30	27	26	16	34	24
AGO2	31	35	40	41	35	39	39	36	37	36	35	33	31	35	37	44	16	44	31
AGO3	18	22	25	18	22	20	21	23	18	21	17	20	24	22	20	23	16	25	17
AGO4	4	8	5	7	7	5	5	4	5	7	5	4	4	5	4	5	16	8	4
AGPAT1	7	8	7	7	6	8	7	8	8	8	7	7	8	8	7	7	16	8	6
AGPAT2	7	7	8	6	5	7	7	7	7	7	7	6	8	8	7	11	16	11	5
AGPAT3	12	16	16	16	12	15	15	14	15	17	17	13	15	13	15	17	16	17	12
AGPAT4	8	4	6	8	6	4	5	6	6	4	5	5	8	6	6	5	16	8	4
AGPAT5	12	11	10	12	12	9	10	9	12	12	10	11	10	10	11	12	16	12	9
AGPS	29	31	31	30	27	30	28	30	29	33	29	27	30	28	26	28	16	33	26
AGR2	14	14	15	16	15	9	9	10	11	13	16	13	16	16	13	13	16	16	9
AGR3	9	11	11	11	12	11	11	11	9	12	12	11	12	11	11	13	16	13	9
AGRN	63	61	62	64	66	59	68	66	70	62	59	62	63	64	65	71	16	71	59
AGT	10	11	12	13	13	10	10	10	11	12	10	12	11	10	11	12	16	13	10
AGTPBP1	19	15	18	19	11	14	18	13	14	15	15	16	12	13	11	18	16	19	11
AGTR2	NA	NA	NA	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	1
AGTRAP	6	5	5	3	2	3	5	3	3	4	4	4	5	3	4	4	16	6	2
AGXT	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	1	1
AHCTF1	74	74	73	69	65	72	68	69	69	79	68	72	73	74	75	76	16	79	65
AHCY	35	35	35	33	30	33	33	34	35	36	37	31	34	36	33	36	16	37	30
AHCYL1	19	23	21	23	19	21	22	20	28	25	25	22	23	23	27	25	16	28	19
AHCYL2	24	29	33	25	34	30	27	26	34	31	26	29	28	25	34	32	16	34	24
AHDC1	10	11	15	26	16	15	16	22	15	23	14	17	15	19	18	23	16	26	10
AHI1	NA	2	2	1	3	3	3	2	1	3	1	2	2	4	3	1	15	4	1
AHNAK	365	344	423	445	356	351	340	360	349	356	385	359	360	355	355	367	16	445	340
AHNAK2	187	134	190	211	195	166	165	177	202	202	190	146	204	152	204	183	16	211	134
AHSA1	30	29	35	35	28	28	29	27	29	29	28	27	29	28	29	30	16	35	27
AHSG	11	12	14	13	13	12	11	12	11	11	11	11	11	12	11	10	16	14	10
AHSP	1	NA	1	1	1	1	NA	1	NA	1	1	2	1	1	1	1	13	2	1
AIDA	18	17	17	16	20	16	19	21	19	23	20	16	18	18	22	17	16	23	16
AIF1	10	10	10	9	9	7	9	8	10	9	9	9	8	8	7	8	16	10	7
AIF1L	2	1	3	6	2	5	3	2	2	4	4	4	3	3	5	6	16	6	1
AIFM1	25	25	32	27	25	25	25	27	30	27	27	26	27	25	27	29	16	32	25
AIFM2	12	11	13	10	11	9	10	10	11	11	14	12	9	12	11	15	16	15	9
AIG1	NA	1	2	1	1	NA	NA	1	NA	1	NA	1	NA	NA	NA	1	8	2	1
AIM2	2	1	1	1	NA	1	1	2	1	1	5	5	1	3	1	4	15	5	1
AIMP1	20	22	25	27	20	21	23	21	23	22	23	22	21	22	19	24	16	27	19
AIMP2	18	17	19	20	15	16	14	18	19	17	19	16	17	16	14	15	16	20	14
AIP	23	23	22	22	21	20	21	20	22	19	19	19	19	19	19	21	16	23	19
AJUBA	11	4	7	8	9	11	13	9	7	4	10	9	10	10	13	11	16	13	4
AK1	18	21	21	23	18	20	21	22	21	19	19	21	19	19	20	20	16	23	18
AK2	25	22	23	23	23	22	22	22	24	23	26	23	25	23	23	23	16	26	22
AK3	21	20	24	23	22	21	22	21	22	22	21	22	22	19	22	22	16	24	19
AK4	16	12	17	14	14	13	11	15	13	14	13	15	13	14	14	14	16	17	11
AK5	1	0	0	4	0	4	0	0	0	0	0	0	2	0	8	0	5	8	0
AK6	8	7	6	5	6	5	5	6	4	3	4	5	5	5	7	6	16	8	3
AK7	1	1	1	NA	5	4	4	1	5	4	6	1	3	NA	NA	1	13	6	1
AK8	2	NA	NA	NA	2	1	3	2	2	2	3	2	1	NA	1	2	12	3	1
AK9	0	NA	0	1	NA	NA	NA	0	0	1	3	0	NA	0	0	0	3	3	0
AKAIN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1
AKAP1	31	32	36	41	32	31	26	33	28	31	37	35	33	30	35	27	16	41	26
AKAP10	23	20	20	16	17	16	20	16	21	19	17	19	16	18	20	22	16	23	16
AKAP11	21	22	23	27	25	19	29	27	21	26	23	22	19	24	19	22	16	29	19
AKAP12	92	88	90	89	87	81	89	93	90	87	86	85	86	85	80	86	16	93	80
AKAP13	107	112	102	114	114	106	116	112	116	105	108	101	108	109	115	108	16	116	101
AKAP14	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	2	1	1
AKAP17A	21	16	15	17	15	14	19	17	17	20	19	16	14	18	17	16	16	21	14
AKAP4	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	2	2	1
AKAP5	8	9	5	6	6	10	5	10	5	8	4	6	1	10	8	6	16	10	1
AKAP6	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	NA	4	1	1	6	4	1
AKAP7	6	8	6	6	7	8	6	7	4	6	8	6	6	7	4	6	16	8	4
AKAP8	22	21	21	24	22	20	23	23	25	24	30	23	25	25	23	22	16	30	20
AKAP8L	26	30	28	25	25	26	27	29	24	31	23	20	22	24	25	24	16	31	20
AKAP9	203	225	218	218	211	215	208	204	222	214	217	214	211	212	200	213	16	225	200
AKIP1	3	3	2	1	4	2	3	2	4	3	3	4	4	4	4	4	16	4	1
AKNA	17	10	10	12	7	15	8	15	16	12	12	15	9	14	12	19	16	19	7
AKR1A1	23	25	25	23	23	24	24	23	24	24	24	24	25	23	23	26	16	26	23
AKR1B1	25	26	27	28	22	22	24	26	24	26	25	26	22	25	22	27	16	28	22
AKR1B10	12	13	12	11	13	12	11	14	12	12	13	11	14	15	12	15	16	15	11
AKR1B15	1	7	0	0	1	1	8	0	3	0	3	0	4	0	0	0	8	8	0
AKR1C1	1	1	3	1	1	5	2	2	1	2	1	1	2	1	1	2	16	5	1
AKR1C2	3	6	7	5	5	7	5	7	6	8	6	3	8	5	6	8	16	8	3
AKR1C3	22	22	22	21	22	22	21	22	21	22	26	18	23	21	22	23	16	26	18
AKR1C4	8	9	3	2	2	3	2	1	1	16	5	0	9	0	2	4	14	16	0
AKR1D1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	NA	NA	NA	3	1	1
AKR7A2	12	15	14	13	15	12	16	13	13	13	13	15	13	13	15	13	16	16	12
AKR7A3	7	8	6	6	8	5	7	6	7	9	5	8	8	7	8	7	16	9	5
AKT1	20	19	22	21	16	19	19	21	18	19	20	21	20	20	20	22	16	22	16
AKT1S1	4	3	3	4	4	5	4	4	4	5	6	4	4	5	6	5	16	6	3
AKT2	23	22	23	21	18	22	21	20	22	22	20	24	24	25	21	23	16	25	18
AKT3	17	14	13	13	16	14	15	18	17	17	9	12	12	18	18	15	16	18	9
AKTIP	6	7	7	7	7	6	7	6	6	7	6	9	8	9	8	8	16	9	6
ALAD	30	27	26	27	23	28	28	30	28	28	27	30	28	28	29	31	16	31	23
ALAS1	7	16	6	10	6	10	7	7	7	6	14	13	8	10	11	11	16	16	6
ALAS2	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	0
ALB	105	100	103	106	104	101	96	109	103	110	100	103	110	103	101	109	16	110	96
ALCAM	32	35	29	33	34	28	34	31	33	32	29	29	35	31	31	35	16	35	28
ALDH16A1	19	18	20	21	21	21	20	21	19	19	19	19	21	21	20	20	16	21	18
ALDH18A1	50	54	57	59	55	55	53	54	54	53	53	51	57	53	54	57	16	59	50
ALDH1A1	37	39	39	38	38	40	35	40	36	41	44	35	42	36	32	45	16	45	32
ALDH1A2	19	16	24	18	17	15	20	25	20	18	17	23	17	13	11	20	16	25	11
ALDH1A3	27	25	24	22	26	21	26	21	23	23	20	22	23	22	21	26	16	27	20
ALDH1B1	28	28	39	35	31	33	30	29	29	33	30	30	35	27	28	34	16	39	27
ALDH1L1	21	21	18	28	18	15	23	5	9	8	21	23	15	6	6	27	16	28	5
ALDH1L2	51	48	53	48	51	55	49	51	52	50	50	52	52	49	45	53	16	55	45
ALDH2	20	20	23	25	23	23	23	22	26	22	24	22	22	22	23	20	16	26	20
ALDH3A1	23	30	24	25	30	27	30	32	30	16	34	27	30	17	19	29	16	34	16
ALDH3A2	23	22	27	26	22	22	22	21	27	23	25	24	25	24	22	23	16	27	21
ALDH3B1	6	9	8	5	6	6	9	7	6	5	7	10	10	6	6	6	16	10	5
ALDH4A1	31	32	31	32	27	25	27	29	30	29	30	27	33	29	26	28	16	33	25
ALDH5A1	25	24	26	26	20	19	20	21	21	22	21	20	26	22	22	21	16	26	19
ALDH6A1	31	34	30	34	33	31	34	33	35	29	34	33	39	28	31	35	16	39	28
ALDH7A1	33	34	32	32	34	31	33	35	35	37	33	35	35	30	31	35	16	37	30
ALDH8A1	NA	NA	4	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	3	4	1
ALDH9A1	29	34	42	44	31	32	32	35	32	37	35	32	33	34	32	32	16	44	29
ALDOA	1	2	2	1	0	2	0	0	0	1	1	0	1	0	1	0	9	2	0
ALDOB	14	3	10	3	3	6	4	3	2	6	4	4	5	2	4	5	16	14	2
ALDOC	22	24	27	30	24	25	26	23	23	26	27	24	24	25	26	27	16	30	22
ALG1	15	15	14	11	10	11	10	11	11	10	12	12	12	12	10	10	16	15	10
ALG11	8	10	11	12	10	12	12	11	12	11	12	12	12	11	10	11	16	12	8
ALG12	4	6	8	5	5	7	6	7	6	6	4	6	8	6	5	3	16	8	3
ALG13	7	6	4	7	4	4	6	4	7	4	5	7	5	4	5	6	16	7	4
ALG14	4	5	8	6	4	7	6	8	4	5	5	4	4	4	6	4	16	8	4
ALG2	11	14	15	15	11	13	13	12	13	12	12	10	11	13	13	13	16	15	10
ALG3	5	4	5	3	4	4	4	5	4	4	4	4	5	5	5	5	16	5	3
ALG5	17	19	22	20	16	15	16	18	16	19	17	16	16	17	17	18	16	22	15
ALG6	3	3	4	4	4	4	4	4	3	3	3	2	2	3	3	4	16	4	2
ALG8	5	4	4	4	4	4	5	5	4	4	5	4	3	4	3	5	16	5	3
ALKAL2	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	1	1	5	1	1
ALKBH1	5	6	4	4	5	7	3	4	4	4	6	5	6	6	6	7	16	7	3
ALKBH2	3	5	5	4	4	5	4	4	2	4	3	4	3	4	3	4	16	5	2
ALKBH3	5	5	6	6	4	5	6	7	5	4	5	6	5	5	5	8	16	8	4
ALKBH4	6	8	9	8	8	8	9	9	7	8	10	8	8	9	7	10	16	10	6
ALKBH5	12	11	10	11	8	10	9	12	10	13	11	11	11	11	13	12	16	13	8
ALKBH6	4	5	4	4	3	4	4	3	4	4	4	4	3	4	4	5	16	5	3
ALKBH7	8	4	5	7	6	4	7	7	6	7	5	6	7	7	6	8	16	8	4
ALKBH8	8	9	7	7	5	8	11	10	9	10	11	9	5	12	10	13	16	13	5
ALMS1	11	9	15	22	12	25	20	14	9	20	26	17	17	14	18	16	16	26	9
ALOX12	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	2	NA	1	4	2	1
ALOX12B	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
ALOX15	22	26	16	32	21	26	21	25	24	35	37	22	20	46	17	34	16	46	16
ALOX15B	21	22	24	24	25	30	20	21	23	21	19	20	21	19	21	20	16	30	19
ALOX5	31	32	33	34	28	28	29	35	33	35	34	34	31	33	32	37	16	37	28
ALOX5AP	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	16	4	3
ALPK1	10	10	8	11	10	9	7	5	4	10	11	13	11	8	10	12	16	13	4
ALPK3	3	11	13	1	4	12	1	6	1	8	4	5	5	3	8	4	16	13	1
ALPL	23	20	22	24	19	20	29	28	19	19	25	18	23	19	19	19	16	29	18
ALPP	2	NA	2	NA	0	0	3	0	NA	0	0	0	0	0	2	0	4	3	0
ALPPL2	0	NA	7	NA	1	0	2	0	NA	0	0	1	1	0	1	0	6	7	0
ALS2	18	18	21	20	18	20	21	18	24	27	25	16	25	17	19	21	16	27	16
ALS2CL	15	6	4	10	11	8	10	6	6	5	7	4	3	5	7	6	16	15	3
ALS2CR12	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	3	2	1
ALYREF	15	16	18	18	17	16	15	16	16	16	15	13	15	17	18	16	16	18	13
AMACR	17	11	16	14	20	20	18	18	15	20	13	17	22	17	15	17	16	22	11
AMBP	23	22	24	26	23	23	26	23	23	23	20	21	23	22	22	24	16	26	20
AMBRA1	9	11	7	11	11	13	11	8	7	15	10	8	8	7	14	9	16	15	7
AMD1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	1	6	1	1
AMDHD1	5	5	2	2	1	1	1	1	NA	NA	1	NA	3	NA	1	NA	11	5	1
AMDHD2	7	9	8	9	7	9	8	9	8	9	8	10	8	9	9	10	16	10	7
AMER1	NA	NA	1	NA	1	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	5	2	1
AMER2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	1	NA	2	10	1
AMER3	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	NA	4	1	1
AMFR	12	12	11	8	10	10	9	10	12	11	11	11	14	13	10	12	16	14	8
AMIGO2	5	2	6	5	5	5	4	4	6	4	5	2	3	5	8	9	16	9	2
AMMECR1	0	0	0	0	1	0	1	1	1	0	0	0	0	2	0	2	6	2	0
AMMECR1L	2	2	2	1	1	1	1	2	1	2	2	1	1	1	1	1	16	2	1
AMN1	1	2	3	3	2	3	1	2	1	2	NA	2	1	2	2	1	15	3	1
AMOT	12	8	13	10	6	12	6	7	9	10	7	6	5	10	11	8	16	13	5
AMOTL1	18	12	9	10	12	12	10	15	12	11	9	12	10	10	12	9	16	18	9
AMOTL2	14	9	6	8	6	11	10	9	9	10	10	11	6	8	10	12	16	14	6
AMPD1	0	0	1	3	0	0	0	0	2	3	1	2	0	0	0	4	7	4	0
AMPD2	36	36	41	36	39	38	34	33	37	39	36	36	38	36	34	36	16	41	33
AMPD3	30	29	30	34	26	27	30	30	30	28	28	29	27	34	26	32	16	34	26
AMPH	8	1	3	12	14	6	11	8	4	15	1	5	2	7	9	5	16	15	1
AMT	2	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	12	2	0
AMZ1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	1
AMZ2	7	4	3	4	4	7	4	4	3	5	4	5	5	5	6	5	16	7	3
ANAPC1	48	49	49	45	47	50	45	47	41	53	43	47	45	46	50	49	16	53	41
ANAPC10	6	3	4	7	3	5	5	5	4	7	7	3	6	7	6	5	16	7	3
ANAPC11	NA	NA	NA	1	1	1	1	NA	NA	NA	NA	NA	NA	1	1	1	7	1	1
ANAPC15	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
ANAPC16	3	NA	1	NA	NA	1	2	2	1	NA	NA	NA	1	NA	1	2	9	3	1
ANAPC2	16	20	22	20	14	18	21	18	20	24	20	16	18	17	16	21	16	24	14
ANAPC4	26	21	21	21	17	17	16	16	21	20	15	16	15	19	19	22	16	26	15
ANAPC5	27	27	28	25	21	26	25	25	27	30	29	29	29	27	26	28	16	30	21
ANAPC7	22	16	24	19	17	22	20	22	21	24	23	21	24	25	24	28	16	28	16
ANG	6	7	8	6	7	7	6	11	7	7	6	7	8	6	6	9	16	11	6
ANGEL1	5	3	3	6	5	4	5	5	3	7	4	5	5	2	8	4	16	8	2
ANGEL2	11	11	12	10	12	12	10	11	11	13	11	13	11	11	11	12	16	13	10
ANGPT1	5	3	4	8	6	8	7	8	8	6	6	5	3	4	4	3	16	8	3
ANGPT2	10	9	11	10	12	7	12	12	9	12	8	9	11	8	12	12	16	12	7
ANGPTL2	17	16	19	16	18	18	20	20	20	20	21	22	20	16	19	23	16	23	16
ANGPTL3	1	2	3	NA	1	1	2	1	1	1	NA	1	1	1	1	3	14	3	1
ANGPTL4	7	9	9	5	4	5	5	4	6	6	6	7	4	6	5	5	16	9	4
ANGPTL6	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	1	6	1	0
ANK1	82	86	80	73	73	68	70	87	85	77	71	77	79	58	90	86	16	90	58
ANK2	41	38	64	39	65	68	48	42	49	40	37	48	35	45	39	43	16	68	35
ANK3	77	80	80	84	83	71	69	74	85	80	82	86	78	80	74	80	16	86	69
ANKAR	NA	1	1	2	NA	1	NA	NA	1	NA	NA	NA	1	NA	1	1	8	2	1
ANKDD1A	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	1	1	NA	NA	4	1	1
ANKEF1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	2	3	2
ANKFY1	50	49	54	50	46	47	52	51	56	50	52	47	50	46	48	48	16	56	46
ANKH	8	4	6	3	6	4	4	4	6	8	4	5	6	7	6	3	16	8	3
ANKHD1	3	3	4	4	3	3	3	2	4	2	3	2	3	2	3	3	16	4	2
ANKHD1-EIF4EBP3	1	1	1	3	2	2	2	1	3	1	1	2	3	1	2	2	16	3	1
ANKIB1	21	20	17	20	19	23	18	22	22	23	26	24	23	21	21	19	16	26	17
ANKLE2	36	45	41	38	34	39	32	43	36	39	42	41	37	39	42	38	16	45	32
ANKMY1	NA	NA	NA	NA	1	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	4	1	1
ANKMY2	18	20	20	22	20	20	25	19	19	16	16	17	15	17	18	20	16	25	15
ANKRA2	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	1	NA	NA	4	1	1
ANKRD10	2	2	3	2	3	3	4	4	4	7	2	3	2	2	2	3	16	7	2
ANKRD11	8	4	3	7	1	3	2	4	4	1	9	3	5	7	8	3	16	9	1
ANKRD12	16	18	10	18	14	14	13	13	11	10	14	12	10	13	15	15	16	18	10
ANKRD13A	22	26	26	27	25	23	27	26	24	25	25	24	24	25	25	22	16	27	22
ANKRD13C	1	3	3	3	4	4	5	4	3	2	2	3	3	3	2	2	16	5	1
ANKRD13D	7	7	10	7	5	7	9	8	8	6	9	8	9	9	7	7	16	10	5
ANKRD16	5	5	5	5	8	9	6	6	6	7	7	4	7	8	7	4	16	9	4
ANKRD17	34	34	32	32	33	35	28	38	34	32	35	28	36	38	33	37	16	38	28
ANKRD2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	2	1	1
ANKRD20A8P	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	1	NA	0	NA	NA	4	1	0
ANKRD22	5	11	5	8	5	4	7	7	8	5	8	7	5	7	6	7	16	11	4
ANKRD24	1	2	1	1	1	1	1	1	2	1	2	1	2	1	1	1	16	2	1
ANKRD26	4	6	3	7	6	11	2	9	3	3	9	2	6	11	13	4	16	13	2
ANKRD27	25	21	27	23	21	33	28	20	28	39	24	28	26	26	25	27	16	39	20
ANKRD28	22	19	18	21	19	15	20	15	20	20	18	18	20	19	19	24	16	24	15
ANKRD30A	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	7	1	0
ANKRD30B	1	1	2	2	1	1	1	0	3	2	2	1	1	1	0	1	14	3	0
ANKRD31	3	NA	2	1	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	5	3	1
ANKRD33B	NA	NA	1	NA	NA	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	4	1	1
ANKRD34B	1	NA	1	NA	1	NA	NA	NA	1	NA	NA	NA	1	1	NA	1	7	1	1
ANKRD35	3	4	3	1	6	16	3	4	3	2	8	4	5	9	2	2	16	16	1
ANKRD39	4	4	2	2	2	3	2	4	3	4	4	3	4	3	2	2	16	4	2
ANKRD40	4	2	4	3	3	4	5	5	4	3	4	3	3	3	3	4	16	5	2
ANKRD42	1	1	1	0	1	1	2	1	1	3	3	1	NA	0	0	1	12	3	0
ANKRD44	35	31	33	37	32	32	36	35	33	34	33	32	34	35	35	34	16	37	31
ANKRD45	1	NA	NA	NA	NA	NA	1	1	NA	NA	2	NA	NA	NA	NA	NA	4	2	1
ANKRD46	1	3	3	3	2	2	3	3	3	4	2	4	3	3	4	4	16	4	1
ANKRD49	5	6	4	4	5	5	5	3	5	5	4	5	4	5	5	6	16	6	3
ANKRD50	25	22	16	21	21	22	18	21	22	21	24	22	21	15	22	26	16	26	15
ANKRD52	13	12	9	8	9	10	11	13	9	13	12	11	10	14	12	12	16	14	8
ANKRD53	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1
ANKRD54	6	7	6	7	7	5	7	6	5	6	5	7	8	8	7	7	16	8	5
ANKRD6	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	1	NA	2	NA	5	2	1
ANKRD63	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	1	1
ANKRD65	1	1	1	3	1	NA	4	1	2	1	1	1	1	1	NA	1	14	4	1
ANKRD7	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	2	1	1
ANKRD9	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1
ANKS1A	39	40	39	40	39	38	36	40	36	37	32	34	38	38	37	35	16	40	32
ANKS1B	0	0	0	0	1	1	0	1	0	2	1	0	0	0	0	1	6	2	0
ANKS3	7	2	8	6	3	2	2	4	5	1	4	2	2	2	2	3	16	8	1
ANKS4B	2	NA	NA	NA	3	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	3	5	2
ANKS6	4	4	4	4	5	4	3	2	2	1	1	3	4	2	1	2	16	5	1
ANKZF1	16	17	18	19	14	19	16	18	17	23	16	18	19	17	20	20	16	23	14
ANLN	32	24	27	31	17	22	13	26	24	25	20	27	27	29	32	25	16	32	13
ANO1	16	9	20	11	17	12	16	12	14	15	8	12	14	10	14	21	16	21	8
ANO10	18	15	17	16	16	17	18	18	15	18	19	18	19	22	19	20	16	22	15
ANO6	33	28	27	30	29	27	31	31	32	24	24	29	32	33	32	36	16	36	24
ANO8	2	2	7	11	4	8	4	7	6	6	6	6	6	7	7	1	16	11	1
ANO9	5	6	7	5	8	7	6	4	5	9	6	5	6	5	5	4	16	9	4
ANOS1	3	4	8	2	8	7	9	6	5	7	6	6	3	6	4	6	16	9	2
ANP32A	11	13	14	15	12	13	11	12	11	14	13	13	13	14	13	14	16	15	11
ANP32B	8	8	12	15	8	9	8	8	9	9	10	9	9	10	10	11	16	15	8
ANP32D	1	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	9	1	0
